Telescope,Aperture,Focal length
Meade LX200R 10",2500,254
Meade LX200R 12",3048,304.8
Meade LX200R 14",3556,355.6
Meade LX200R 16",4064,406.4
Meade LX800 14",2845,355.6
Meade LXD75 AR-5 AT,1143,127
Meade LXD75 AR-6 AT,1219,152.4
Meade LXD75 N-6 AT,762,152.4
Meade LXD75 SC-8 AT,2000,203.2
Meade LXD75 SN-6 AT,762,152.4
Meade LXD75 SN-8 AT,812,203.2
Meade LXD75 SN-10 AT,1016,254
Meade NG-70,700,70
Meade NGC-70,700,70
Meade RCX400 10",2032,254
Meade RCX400 12",2438,304.8
Meade RCX400 14",2845,355.6
Meade RCX400 16",3251,406.4
Meade Series 5000 80mm ED,480,80
Meade Series 5000 102mm ED,700,102
Meade Series 5000 127mm ED,925.5,127
Meade Starfinder 12.5",1525,318
Meade StarLight 80mm,640,80
Mini Borg 50,250,50
Mini Borg 60,325,60
Obsession 15" Classic,1715,381
Obsession 18" UC,1905,457.2
Obsession 20" f5,2540,508
Opticstar AR90s,495,90
Opticstar ED80S,500,80
Orion 8" f/4.0 Astrograph,800,200
Orion 80ED,600,80
Orion 120ST,600,120
Orion 127 Mak,1540,127
Orion AG8,760,203.2
Orion AG10,950,254
Orion AG12,1140,304.8
Orion AG14,1330,355.6
Orion AG16,1520,406.4
Orion Apex 90mm,1250,90
Orion Astoview 6EQ Newtonian,750,150
Orion Astroview 90mm,910,90
Orion CT8,900,203.2
Orion CT10,1200,254
Orion CT10L,1575,254
Orion CT12,1200,304.8
Orion CT12L,1590,304.8
Orion CT14,1600,355.6
Orion CT16,1600,406.4
Orion ED80T-CF,480,80
Orion ED100,900,100
Orion ED102T,714,102
Orion EON 80mm,500,80
Orion Europa 150,750,150
Orion Europa 200,900,200
Orion Europa 250,1200,250
Orion OD150 L,1600,150
Orion OD150 S,1200,150
Orion OD200 L,1600,200
Orion OD200 S,1200,200
Orion OD250 L,1600,250
Orion OD250 S,1200,250
Orion OD300 L,1600,300
Orion OD300 S,1200,300
Orion OD350,1600,350
Orion OD400,1600,400
Orion OD500,2000,500
Orion ODK10,1700,254
